area,bedrooms,bathrooms,stories,parking,price
7778,10,6,4,4,23255002
1360,3,2,1,1,5753277
5890,6,3,2,2,16711884
5691,7,5,3,3,15155359
6234,7,4,2,4,16870921
6765,9,4,2,4,18129886
966,2,1,1,0,4041180
4926,6,1,2,3,15176263
6078,7,3,2,4,14568345
8822,10,4,3,5,26170004
2185,1,2,1,0,5953847
1269,1,1,1,1,5018284
7449,9,4,2,4,21798665
2933,3,1,2,1,9227330
5811,6,3,3,4,13500980
5551,5,2,1,1,15369874
6920,8,5,2,4,19060555
1684,1,1,1,1,4626034
5055,6,3,3,2,14746116
3885,4,2,1,3,10198650
6896,6,4,1,2,17088205
9166,10,5,4,4,23581291
9774,10,5,3,5,25129301
3058,5,4,2,3,9709974
8349,18,5,3,5,27033929
2547,2,1,1,1,7743379
3247,3,1,2,1,9546510
9667,10,5,4,5,24484552
689,1,1,1,0,3518227
3234,3,1,1,1,9721871
3505,5,3,1,3,12880106
5158,4,2,1,1,13280673
2399,3,1,1,1,6916850
8234,10,5,3,4,24544288
1767,2,1,1,2,5976078
2028,3,2,1,1,5570574
4056,4,2,1,1,9828070
4390,4,3,1,1,13831973
9338,10,5,3,4,28943178
5893,5,3,2,3,17998365
9292,10,4,2,4,25094808
8933,9,5,5,3,22802850
8013,10,7,3,4,21412513
3112,3,2,1,2,8284556
